date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:29:16	152/152	---MCZ	200	added ('OK')	text/plain	date:Fri,%2011%20Jul%202025%2005:35:02%20GMT	https://fujisilvertech.com/robots.txt		(from )
15:29:20	182297/182297	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Jul%202025%2009:53:06%20GMT	https://fujisilvertech.com/about-us/	C:/My%20Web%20Sites/InfraNew/fujisilvertech.com/about-us/index.html	(from )
15:29:20	106930/106930	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Jul%202025%2009:53:55%20GMT	https://fujisilvertech.com/precast-box-culverts/	C:/My%20Web%20Sites/InfraNew/fujisilvertech.com/precast-box-culverts/index.html	(from )
15:29:21	202465/202465	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Jul%202025%2009:47:23%20GMT	https://fujisilvertech.com/	C:/My%20Web%20Sites/InfraNew/fujisilvertech.com/index.html	(from )
15:29:21	210313/210313	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Jul%202025%2009:54:54%20GMT	https://fujisilvertech.com/u-shape-drains/	C:/My%20Web%20Sites/InfraNew/fujisilvertech.com/u-shape-drains/index.html	(from )
15:29:21	190077/190077	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Jul%202025%2009:50:32%20GMT	https://fujisilvertech.com/project/	C:/My%20Web%20Sites/InfraNew/fujisilvertech.com/project/index.html	(from )
15:29:21	845822/845822	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Jul%202025%2009:58:51%20GMT	https://fujisilvertech.com/retaining-wall/	C:/My%20Web%20Sites/InfraNew/fujisilvertech.com/retaining-wall/index.html	(from )
15:29:22	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2011%20Jul%202025%2009:59:22%20GMT	https://fujisilvertech.com/i	C:/My%20Web%20Sites/InfraNew/fujisilvertech.com/i	(from https://fujisilvertech.com/)
15:29:22	720/720	---M--	200	added ('OK')	application/octet-stream	etag:%2264c603fd-2d0%22	https://fujisilvertech.com/wp-content/themes/fujisilvertech/assets/img/favicon/manifest.json	C:/My%20Web%20Sites/InfraNew/fujisilvertech.com/wp-content/themes/fujisilvertech/assets/img/favicon/manifest.json	(from https://fujisilvertech.com/)
15:29:22	235559/235559	---M--	200	added ('OK')	image/jpeg	etag:%2264c603fd-3bf96%22	https://fujisilvertech.com/wp-content/themes/fujisilvertech/assets/img/fuji-silvertech-banner-img03.jpg	C:/My%20Web%20Sites/InfraNew/fujisilvertech.com/wp-content/themes/fujisilvertech/assets/img/fuji-silvertech-banner-img03.jpg	(from https://fujisilvertech.com/)
